Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
885122,3353.8,784.4,2354.0,215.3,645.4,406.4,4.6,44.6,189.8,Delaware,29685,6943,20836,1906,5713,3597,41,395,1680,2009
899792,3453.9,839.1,2399.8,215.0,623.3,377.0,5.7,36.2,204.4,Delaware,31078,7550,21593,1935,5608,3392,51,326,1839,2010
908137,3431.5,838.8,2422.7,170.1,566.4,355.8,5.3,33.8,171.6,Delaware,31163,7617,22001,1545,5144,3231,48,307,1558,2011
917092,3340.9,803.7,2380.6,156.6,547.4,352.0,6.2,26.5,162.7,Delaware,30639,7371,21832,1436,5020,3228,57,243,1492,2012
763956,2159.2,600.4,1296.5,262.2,553.7,388.2,10.6,14.5,140.3,District of Columbia,16495,4587,9905,2003,4230,2966,81,111,1072,1960
763956,2237.4,641.7,1273.9,321.9,587.9,386.8,11.5,13.1,176.4,District of Columbia,17093,4902,9732,2459,4491,2955,88,100,1348,1961
784000,2226.8,640.6,1257.0,329.2,605.9,383.3,11.6,10.5,200.5,District of Columbia,17458,5022,9855,2581,4750,3005,91,82,1572,1962
798000,2612.0,875.2,1302.6,434.2,594.0,357.3,11.9,10.9,213.9,District of Columbia,20844,6984,10395,3465,4740,2851,95,87,1707,1963
808000,3121.5,1102.7,1351.5,667.3,632.7,322.4,16.3,11.9,282.1,District of Columbia,25222,8910,10920,5392,5112,2605,132,96,2279,1964
803000,3497.0,1231.1,1566.1,699.8,722.8,328.1,18.4,17.4,358.8,District of Columbia,28081,9886,12576,5619,5804,2635,148,140,2881,1965
808000,4057.2,1299.3,1945.4,812.5,885.5,393.2,17.5,16.6,458.3,District of Columbia,32782,10498,15719,6565,7155,3177,141,134,3703,1966
809000,5517.2,1817.3,2648.3,1051.5,1143.6,388.5,22.0,21.3,711.9,District of Columbia,44634,14702,21425,8507,9252,3143,178,172,5759,1967
809000,6362.5,2218.8,2740.3,1403.5,1505.6,383.6,24.1,32.1,1065.8,District of Columbia,51473,17950,22169,11354,12180,3103,195,260,8622,1968
798000,8270.9,2869.9,3998.7,1402.3,2135.1,452.3,36.0,97.2,1549.6,District of Columbia,66002,22902,31910,11190,17038,3609,287,776,12366,1969
756510,8656.6,2873.7,4314.3,1468.6,2226.8,540.5,29.2,95.2,1561.9,District of Columbia,65488,21740,32638,11110,16846,4089,221,720,11816,1970
741000,7345.7,2539.5,3627.8,1178.4,2170.6,536.0,37.1,83.0,1514.4,District of Columbia,54432,18818,26882,8732,16084,3972,275,615,11222,1971
748000,6179.8,1711.4,3690.2,778.2,1685.4,521.0,32.8,95.5,1036.2,District of Columbia,46225,12801,27603,5821,12607,3897,245,714,7751,1972
746000,6339.8,1581.9,4126.1,631.8,1558.4,481.4,35.9,79.9,961.3,District of Columbia,47295,11801,30781,4713,11626,3591,268,596,7171,1973
723000,5954.9,1953.8,3458.4,542.7,1603.0,388.8,38.3,77.6,1098.3,District of Columbia,43054,14126,25004,3924,11590,2811,277,561,7941,1974
716000,5929.2,1838.5,3616.2,474.4,1774.3,392.7,32.8,72.6,1276.1,District of Columbia,42453,13164,25892,3397,12704,2812,235,520,9137,1975
702000,5602.1,1690.7,3490.9,420.5,1481.3,378.8,26.8,72.4,1003.4,District of Columbia,39327,11869,24506,2952,10399,2659,188,508,7044,1976
690000,5793.9,1679.7,3716.8,397.4,1426.5,375.9,27.8,58.3,964.5,District of Columbia,39978,11590,25646,2742,9843,2594,192,402,6655,1977
674000,6147.6,1854.2,3819.6,473.9,1411.7,377.7,28.0,66.3,939.6,District of Columbia,41435,12497,25744,3194,9515,2546,189,447,6333,1978
656000,6993.4,2050.6,4393.1,549.7,1608.7,451.8,27.4,74.5,1054.9,District of Columbia,45877,13452,28819,3606,10553,2964,180,489,6920,1979
635233,8012.2,2559.7,4890.8,561.7,2010.6,509.4,31.5,69.1,1400.6,District of Columbia,50896,16260,31068,3568,12772,3236,200,439,8897,1980
636000,8402.8,2646.5,5164.3,592.0,2274.8,539.6,35.1,65.1,1635.1,District of Columbia,53442,16832,32845,3765,14468,3432,223,414,10399,1981
631000,8287.6,2341.4,5298.7,647.5,2123.1,577.7,30.7,66.7,1448.0,District of Columbia,52295,14774,33435,4086,13397,3645,194,421,9137,1982
623000,7358.4,2003.7,4719.9,634.8,1915.4,585.2,29.4,65.2,1235.6,District of Columbia,45843,12483,29405,3955,11933,3646,183,406,7698,1983
623000,6869.8,1758.3,4409.5,702.1,1721.5,657.6,28.1,58.7,977.0,District of Columbia,42799,10954,27471,4374,10725,4097,175,366,6087,1984
626000,6374.4,1598.2,3973.5,802.7,1624.8,712.0,23.5,53.8,835.5,District of Columbia,39904,10005,24874,5025,10171,4457,147,337,5230,1985
626000,6834.0,1727.6,4131.2,975.2,1505.3,667.9,31.0,52.4,754.0,District of Columbia,42781,10815,25861,6105,9423,4181,194,328,4720,1986
622000,6841.3,1807.7,4021.2,1012.4,1610.3,817.4,36.2,39.4,717.4,District of Columbia,42553,11244,25012,6297,10016,5084,225,245,4462,1987
620000,7993.1,1983.9,4616.8,1392.4,1921.6,917.7,59.5,26.6,917.7,District of Columbia,49557,12300,28624,8633,11914,5690,369,165,5690,1988
604000,8151.5,1950.3,4828.5,1372.7,2141.9,956.1,71.9,30.8,1083.1,District of Columbia,49235,11780,29164,8291,12937,5775,434,186,6542,1989
606900,8316.0,1983.0,4996.9,1336.1,2458.2,1117.0,77.8,49.9,1213.5,District of Columbia,50470,12035,30326,8109,14919,6779,472,303,7365,1990
598000,8314.7,2074.4,4879.9,1360.4,2453.3,1121.4,80.6,35.8,1215.6,District of Columbia,49722,12405,29182,8135,14671,6706,482,214,7269,1991
589000,8574.2,1820.2,5205.9,1548.0,2832.8,1454.7,75.2,36.5,1266.4,District of Columbia,50502,10721,30663,9118,16685,8568,443,215,7459,1992
578000,8839.3,1995.5,5449.0,1394.8,2921.8,1557.6,78.5,56.1,1229.6,District of Columbia,51091,11534,31495,8062,16888,9003,454,324,7107,1993
570000,8422.6,1760.9,5212.5,1449.3,2662.6,1441.8,70.0,43.7,1107.2,District of Columbia,48009,10037,29711,8261,15177,8218,399,249,6311,1994
554000,9512.1,1838.4,5833.8,1839.9,2661.4,1304.7,65.0,52.7,1239.0,District of Columbia,52697,10185,32319,10193,14744,7228,360,292,6864,1995
543000,9426.9,1809.9,5779.9,1837.0,2469.8,1162.1,73.1,47.9,1186.7,District of Columbia,51188,9828,31385,9975,13411,6310,397,260,6444,1996
529000,7814.9,1316.3,5067.9,1430.8,2024.2,1075.2,56.9,41.2,850.9,District of Columbia,41341,6963,26809,7569,10708,5688,301,218,4501,1997
523000,7117.0,1216.3,4657.7,1243.0,1718.5,943.0,49.7,36.3,689.5,District of Columbia,37222,6361,24360,6501,8988,4932,260,190,3606,1998
519000,6439.3,976.3,4181.3,1281.7,1627.7,889.2,46.4,47.8,644.3,District of Columbia,33420,5067,21701,6652,8448,4615,241,248,3344,1999
572059,5768.6,829.5,3785.4,1153.7,1507.9,801.0,41.8,43.9,621.3,District of Columbia,33000,4745,21655,6600,8626,4582,239,251,3554,2000
573822,6139.9,862.5,3888.5,1388.9,1602.4,871.9,40.3,31.5,658.7,District of Columbia,35232,4949,22313,7970,9195,5003,231,181,3780,2001
569157,6409.0,908.4,3814.1,1686.5,1637.9,871.8,46.4,46.0,673.6,District of Columbia,36477,5170,21708,9599,9322,4962,264,262,3834,2002
557620,5863.5,837.7,3249.3,1776.5,1624.9,824.4,44.7,49.1,706.8,District of Columbia,32696,4671,18119,9906,9061,4597,249,274,3941,2003
554239,4852.8,712.0,2623.8,1517.0,1369.4,715.9,35.7,40.1,577.7,District of Columbia,26896,3946,14542,8408,7590,3968,198,222,3202,2004
582049,4490.0,614.6,2549.0,1326.0,1380.0,682.2,33.5,28.5,635.7,District of Columbia,26133,3577,14836,7720,8032,3971,195,166,3700,2005
581530,4653.9,659.5,2735.5,1258.9,1508.4,789.1,29.1,31.8,658.4,District of Columbia,27064,3835,15908,7321,8772,4589,169,185,3829,2006
588292,4916.3,667.4,2956.0,1292.9,1415.1,626.7,30.8,32.6,725.0,District of Columbia,28922,3926,17390,7606,8325,3687,181,192,4265,2007
591833,5104.6,640.0,3372.2,1092.4,1437.7,626.4,31.4,31.4,748.5,District of Columbia,30211,3788,19958,6465,8509,3707,186,186,4430,2008
599657,4751.9,616.4,3213.0,922.5,1348.9,565.3,24.2,25.0,734.4,District of Columbia,28495,3696,19267,5532,8089,3390,145,150,4404,2009
604912,4761.4,699.8,3225.9,835.7,1326.8,559.1,21.8,30.9,715.0,District of Columbia,28802,4233,19514,5055,8026,3382,132,187,4325,2010
619020,4790.5,622.0,3448.5,720.0,1200.8,494.0,17.4,27.9,661.4,District of Columbia,29654,3850,21347,4457,7433,3058,108,173,4094,2011
632323,4860.8,556.5,3725.3,579.0,1243.7,554.1,13.9,37.3,638.3,District of Columbia,30736,3519,23556,3661,7864,3504,88,236,4036,2012
4951560,2481.2,807.1,1486.5,187.6,223.4,123.7,10.6,8.1,80.9,Florida,122858,39966,73603,9289,11061,6126,527,403,4005,1960
5222000,2243.3,720.5,1353.0,169.7,217.8,129.4,9.1,7.6,71.7,Florida,117144,37627,70655,8862,11376,6755,477,398,3746,1961
5459000,2345.3,743.3,1433.7,168.3,192.1,115.3,7.7,5.8,63.3,Florida,128028,40575,78266,9187,10489,6294,420,318,3457,1962
5652000,2571.0,824.6,1575.3,171.2,215.0,128.7,8.2,7.0,71.1,Florida,145313,46604,89034,9675,12150,7272,463,398,4017,1963
5705000,3068.2,963.3,1898.5,206.4,289.9,184.1,8.6,10.3,86.9,Florida,175041,54959,108307,11775,16539,10503,489,589,4958,1964
5805000,3020.7,957.0,1855.9,207.8,299.5,188.6,8.9,13.3,88.6,Florida,175351,55556,107733,12062,17386,10951,518,771,5146,1965
5941000,3378.5,1057.7,2077.5,243.3,337.8,213.0,10.3,14.7,99.9,Florida,200716,62839,123424,14453,20069,12653,612,871,5933,1966
5995000,3713.3,1220.8,2206.8,285.7,390.3,233.6,10.5,15.2,130.9,Florida,222612,73188,132298,17126,23399,14006,630,913,7850,1967
6160000,4045.4,1327.0,2398.5,319.9,453.1,263.3,11.9,18.1,159.9,Florida,249194,81743,147745,19706,27913,16220,731,1113,9849,1968
6354000,4279.7,1358.3,2538.4,382.9,462.9,267.5,11.3,21.2,162.8,Florida,271930,86308,161291,24331,29411,16999,720,1347,10345,1969
6789443,4819.0,1561.8,2860.6,396.6,498.2,277.2,12.7,22.2,186.1,Florida,327182,106036,194216,26930,33824,18819,860,1509,12636,1970
7041000,5125.2,1678.4,3054.1,392.7,547.9,319.7,13.3,24.3,190.6,Florida,360864,118175,215037,27652,38575,22512,933,1708,13422,1971
7259000,4822.3,1605.1,2851.1,366.1,554.5,326.0,12.7,26.4,189.4,Florida,350054,116516,206962,26576,40252,23663,924,1920,13745,1972
7678000,5355.7,1857.2,3048.6,449.9,604.6,335.0,15.4,31.9,222.3,Florida,411212,142597,234073,34542,46419,25723,1180,2447,17069,1973
8090000,6709.7,2287.3,3939.5,482.9,677.6,351.8,14.7,36.0,275.2,Florida,542815,185042,318708,39065,54821,28457,1191,2910,22263,1974
8357000,7032.7,2349.6,4240.4,442.6,688.5,399.6,13.5,35.7,239.7,Florida,587723,196358,354374,36991,57540,33393,1130,2986,20031,1975
8421000,6368.4,1954.7,4074.0,339.7,648.3,415.0,10.7,36.3,186.4,Florida,536283,164609,343069,28605,54597,34944,903,3055,15695,1976
8452000,6051.8,1859.9,3840.5,351.4,686.8,449.1,10.2,39.6,187.9,Florida,511494,157195,324601,29698,58052,37960,859,3348,15885,1977
8594000,6303.9,1978.8,3936.5,388.6,765.6,502.5,11.0,46.1,206.0,Florida,541760,170061,338299,33400,65792,43182,949,3960,17701,1978
8860000,6854.2,2154.4,4267.5,432.3,833.9,520.6,12.2,51.6,249.4,Florida,607281,190884,378099,38298,73881,46124,1084,4576,22097,1979
9567112,7418.4,2506.8,4434.2,477.5,983.5,556.6,14.5,56.9,355.5,Florida,709730,239825,424223,45682,94095,53254,1387,5439,34015,1980
10166000,7067.4,2375.9,4241.8,449.7,965.1,545.0,15.0,56.1,348.9,Florida,718470,241536,431222,45712,98109,55407,1522,5707,35473,1981
10416000,6568.4,2034.7,4103.9,429.8,896.8,532.0,13.5,53.6,297.6,Florida,684166,211932,427462,44772,93411,55413,1409,5587,31002,1982
10680000,5954.4,1796.8,3752.8,404.8,826.7,503.7,11.2,48.4,263.4,Florida,635934,191902,400796,43236,88292,53797,1199,5170,28126,1983
10976000,5953.3,1808.0,3718.6,426.7,868.0,529.6,11.5,50.7,276.2,Florida,653429,198446,408153,46830,95270,58125,1264,5570,30311,1984
11366000,6633.1,2009.5,4098.1,525.5,941.1,564.5,11.4,52.8,312.4,Florida,753918,228402,465792,59724,106971,64165,1296,6004,35506,1985
11675000,7191.9,2221.3,4372.6,598.1,1036.5,605.3,11.7,52.7,366.8,Florida,839651,259331,510496,69824,121013,70668,1371,6152,42822,1986
12023000,7478.7,2256.9,4545.2,676.7,1024.4,606.3,11.4,50.2,356.6,Florida,899167,271346,546466,81355,123168,72896,1371,6032,42869,1987
12377000,7819.9,2294.3,4760.6,765.1,1117.7,653.3,11.4,49.7,403.3,Florida,967869,283960,589215,94694,138343,80857,1416,6154,49916,1988
12671000,7695.1,2282.8,4606.6,805.7,1109.4,644.6,11.1,49.7,404.0,Florida,975042,289254,583702,102086,140575,81683,1405,6299,51188,1989
12937926,7566.5,2170.6,4569.6,826.3,1244.3,764.4,10.7,52.4,416.8,Florida,978944,280832,591210,106902,160990,98902,1379,6781,53928,1990
13277000,7362.9,2005.8,4573.5,783.6,1184.3,723.4,9.4,51.7,399.8,Florida,977570,266313,607222,104035,157243,96047,1248,6865,53083,1991
13488000,7151.0,1888.8,4434.3,828.0,1207.2,777.2,9.0,54.2,366.9,Florida,964533,254755,598093,111685,162827,104827,1208,7310,49482,1992
13679000,7145.0,1835.4,4413.9,895.7,1206.0,785.7,8.9,53.8,357.6,Florida,977363,251063,603784,122516,164975,107479,1224,7359,48913,1993
13953000,7103.2,1701.0,4490.6,911.5,1146.8,757.4,8.3,52.3,328.8,Florida,991105,237341,626578,127186,160016,105679,1165,7301,45871,1994
14166000,6630.6,1522.4,4322.4,785.8,1071.0,715.1,7.3,48.6,299.9,Florida,939288,215657,612311,111320,151711,101302,1037,6887,42485,1995
14400000,6446.3,1521.2,4204.5,720.6,1051.0,702.2,7.5,52.1,289.2,Florida,928273,219056,605448,103769,151350,101122,1077,7508,41643,1996
14654000,6248.2,1459.8,4056.9,731.5,1023.6,688.7,6.9,51.9,276.1,Florida,915613,213926,594492,107195,149996,100926,1012,7599,40459,1997
14916000,5947.4,1361.7,3886.8,698.9,938.7,639.9,6.5,49.6,242.7,Florida,887107,203105,579752,104250,140016,95447,967,7404,36198,1998
15111244,5351.5,1200.3,3534.5,616.7,854.0,590.5,5.7,46.3,211.6,Florida,808674,181378,534105,93191,129044,89226,859,6990,31969,1999
15982378,4882.7,1081.8,3242.9,558.0,812.0,563.2,5.6,44.2,199.0,Florida,780377,172898,518298,89181,129777,90008,903,7057,31809,2000
16373330,4779.2,1075.2,3154.8,549.2,798.3,551.7,5.3,40.6,200.7,Florida,782517,176052,516548,89917,130713,90331,874,6641,32867,2001
16691701,4656.4,1061.9,3064.3,530.3,771.2,530.1,5.5,40.5,195.2,Florida,777236,177242,511478,88516,128721,88476,911,6753,32581,2002
16999181,4457.3,1003.8,2973.6,479.8,731.1,500.6,5.4,39.6,185.4,Florida,757696,170644,505489,81563,124280,85106,924,6727,31523,2003
17385430,4182.5,956.7,2775.2,450.5,711.8,495.8,5.4,38.0,172.5,Florida,727141,166332,482484,78325,123754,86199,946,6612,29997,2004
17768191,4013.0,927.4,2662.0,424.0,709.0,497.2,5.0,37.1,169.6,Florida,712998,164783,472912,75303,125957,88341,883,6592,30141,2005
18089888,3986.2,944.6,2619.0,422.6,716.4,485.6,6.2,35.8,188.8,Florida,721101,170873,473774,76454,129602,87851,1129,6475,34147,2006
18251243,4088.8,996.3,2689.0,403.4,722.6,473.2,6.6,33.7,209.1,Florida,746249,181836,490783,73630,131878,86372,1202,6149,38155,2007
18328340,4140.5,1028.3,2765.7,346.5,688.9,452.0,6.4,32.6,197.9,Florida,758889,188472,506902,63515,126256,82848,1168,5972,36268,2008
18537969,3840.8,981.1,2588.6,271.1,612.5,410.6,5.5,29.7,166.7,Florida,712010,181884,479867,50259,113541,76112,1017,5501,30911,2009
18838613,3551.4,897.7,2433.6,220.1,541.3,369.0,5.2,28.5,138.5,Florida,669035,169119,458454,41462,101969,69523,987,5373,26086,2010
19082262,3517.4,891.8,2418.0,207.6,514.6,347.5,5.2,27.6,134.3,Florida,671200,170171,461408,39621,98198,66319,984,5273,25622,2011
19317568,3276.7,794.9,2288.6,193.2,487.1,330.9,5.2,27.2,123.7,Florida,632988,153563,442095,37330,94087,63929,1009,5260,23889,2012
3943116,1249.1,392.1,709.6,147.4,158.8,114.8,11.9,7.5,24.7,Georgia,49253,15461,27979,5813,6262,4525,469,294,974,1960
3987000,1340.5,437.4,746.1,157.0,157.2,109.4,10.0,9.5,28.3,Georgia,53445,17439,29746,6260,6269,4360,400,380,1129,1961
4100000,1394.1,460.3,742.3,191.5,151.2,98.5,10.3,10.7,31.7,Georgia,57160,18872,30436,7852,6200,4038,422,439,1301,1962
4140000,1517.9,468.6,841.6,207.7,169.5,116.5,9.4,9.6,34.1,Georgia,62841,19400,34843,8598,7019,4823,390,396,1410,1963
4294000,1644.4,528.8,883.9,231.7,192.9,135.3,11.7,12.3,33.7,Georgia,70609,22706,37954,9949,8285,5808,503,529,1445,1964
4357000,1562.9,487.4,882.0,193.5,201.4,147.0,11.3,13.4,29.8,Georgia,68094,21236,38428,8430,8777,6403,491,586,1297,1965
4459000,1676.5,551.2,943.5,181.7,203.3,142.6,11.3,14.6,34.9,Georgia,74754,24580,42070,8104,9066,6357,504,650,1555,1966
4509000,1764.9,591.4,973.6,199.9,189.3,128.5,11.1,12.4,37.3,Georgia,79581,26667,43900,9014,8536,5792,501,561,1682,1967
4588000,1940.3,660.8,1043.1,236.4,215.8,141.0,13.9,13.5,47.5,Georgia,89021,30317,47858,10846,9903,6467,636,619,2181,1968
4641000,2157.4,701.5,1182.9,273.0,242.1,150.7,11.9,17.1,62.4,Georgia,100124,32555,54897,12672,11235,6995,551,794,2895,1969
4589575,2577.1,899.9,1368.6,308.6,304.5,177.3,15.3,16.1,95.8,Georgia,118277,41301,62812,14164,13976,8139,702,740,4395,1970
4664000,2707.0,1050.7,1354.5,301.8,340.9,199.2,16.0,21.5,104.2,Georgia,126254,49003,63173,14078,15898,9291,745,1004,4858,1971
4720000,2674.2,1081.7,1285.8,306.7,377.6,204.0,18.5,20.8,134.3,Georgia,126222,51056,60689,14477,17823,9628,871,984,6340,1972
4786000,3017.9,1268.8,1390.7,358.4,412.4,211.1,17.4,25.8,158.1,Georgia,144437,60726,66558,17153,19738,10103,834,1236,7565,1973
4882000,3470.2,1462.4,1660.8,347.1,442.2,220.8,17.8,27.1,176.5,Georgia,169417,71394,81078,16945,21587,10779,868,1323,8617,1974
4926000,4167.0,1580.7,2248.5,337.7,459.0,252.6,14.4,25.4,166.5,Georgia,205266,77867,110762,16637,22608,12442,711,1251,8204,1975
4970000,4386.4,1448.4,2618.3,319.7,423.1,241.9,13.9,24.9,142.4,Georgia,218002,71984,130130,15888,21030,12022,692,1240,7076,1976
5048000,3819.2,1351.1,2170.2,297.9,439.8,256.5,11.7,31.1,140.5,Georgia,192795,68205,109554,15036,22203,12946,593,1570,7094,1977
5084000,4288.5,1475.6,2456.3,356.5,482.8,264.2,14.4,37.9,166.3,Georgia,218028,75022,124880,18126,24545,13432,731,1928,8454,1978
5118000,4858.2,1594.0,2847.9,416.3,558.7,284.5,17.1,43.3,213.7,Georgia,248641,81579,145758,21304,28594,14562,877,2216,10939,1979
5400851,5048.3,1699.2,2976.6,372.4,555.3,299.7,13.8,44.3,197.6,Georgia,272652,91773,160764,20115,29993,16189,743,2391,10670,1980
5569000,5080.4,1672.1,3073.6,334.6,548.2,292.1,17.2,42.4,196.4,Georgia,282926,93121,171170,18635,30527,16267,960,2362,10938,1981
5639000,4736.6,1497.9,2926.9,311.7,478.2,271.2,12.6,39.8,154.6,Georgia,267097,84469,165049,17579,26963,15292,713,2242,8716,1982
5732000,4048.5,1266.8,2501.7,280.0,456.7,268.8,8.4,35.3,144.2,Georgia,232062,72614,143398,16050,26179,15408,483,2021,8267,1983
5837000,4019.5,1204.6,2522.7,292.3,478.6,284.7,9.4,40.4,144.1,Georgia,234621,70310,147251,17060,27935,16619,546,2356,8414,1984
5976000,4602.9,1356.6,2877.3,369.0,507.2,289.4,10.4,43.3,164.2,Georgia,275070,81070,171950,22050,30311,17292,620,2587,9812,1985
6104000,4867.8,1453.1,2984.5,430.3,587.6,318.6,11.2,43.9,213.9,Georgia,297130,88695,182171,26264,35869,19449,686,2678,13056,1986
6222000,5215.5,1552.1,3171.0,492.4,576.5,312.4,11.8,43.1,209.2,Georgia,324511,96572,197302,30637,35868,19438,735,2681,13014,1987
6401000,5661.2,1610.8,3495.8,554.6,665.3,363.7,11.7,46.4,243.6,Georgia,362376,103106,223768,35502,42589,23278,748,2970,15593,1988
6436000,6337.3,1712.5,3971.1,653.7,735.8,403.0,12.7,48.9,271.1,Georgia,407868,110215,255578,42075,47357,25937,820,3150,17450,1989
6478216,6007.3,1619.4,3714.3,673.6,756.3,427.4,11.8,53.6,263.5,Georgia,389165,104905,240623,43637,48996,27690,767,3472,17067,1990
6623000,5755.2,1514.7,3629.2,611.3,738.2,415.0,12.8,42.3,268.2,Georgia,381165,100317,240359,40489,48894,27483,849,2800,17762,1991
6751000,5672.3,1442.8,3653.1,576.4,733.2,427.1,11.0,45.3,249.8,Georgia,382934,97402,246619,38913,49496,28835,741,3057,16863,1992
6917000,5469.8,1307.3,3568.7,593.8,723.1,428.3,11.4,35.4,248.0,Georgia,378348,90423,246849,41076,50019,29628,789,2448,17154,1993
7055000,5342.7,1153.9,3631.6,557.2,667.7,400.4,10.0,34.7,222.6,Georgia,376926,81406,256208,39312,47103,28249,703,2448,15703,1994
7201000,5346.5,1059.9,3678.3,608.4,657.1,407.1,9.5,35.3,205.2,Georgia,385005,76324,264872,43809,47317,29318,683,2539,14777,1995
7353000,5671.0,1114.8,3927.7,628.5,638.7,392.8,8.6,32.1,205.4,Georgia,416986,81968,288803,46215,46966,28879,630,2357,15100,1996
7486000,5185.1,1086.3,3503.4,595.4,606.6,361.3,7.5,31.1,206.7,Georgia,388155,81320,262263,44572,45408,27044,563,2328,15473,1997
7642000,4890.3,990.8,3342.8,556.6,572.7,347.0,8.1,30.4,187.2,Georgia,373717,75720,255459,42538,43762,26514,618,2322,14308,1998
7788240,4614.4,917.1,3182.2,515.1,533.9,330.3,7.5,29.8,166.4,Georgia,359383,71429,247834,40120,41585,25721,583,2319,12962,1999
8186453,4246.4,836.6,2937.0,472.8,504.7,310.9,8.0,24.0,161.9,Georgia,347630,68488,240440,38702,41319,25450,651,1968,13250,2000
8405677,4138.5,854.2,2837.2,447.2,495.7,291.4,7.1,25.9,171.3,Georgia,347872,71799,238484,37589,41671,24491,598,2180,14402,2001
8544005,4056.2,865.3,2745.7,445.2,459.6,270.7,7.1,24.7,157.2,Georgia,346559,73932,234591,38036,39271,23125,606,2108,13432,2002
8676460,4259.7,910.5,2849.0,500.1,454.5,259.3,7.6,25.7,161.9,Georgia,369589,79001,247196,43392,39435,22501,657,2234,14043,2003
8918129,4223.5,930.6,2796.8,496.0,451.0,264.2,6.9,26.8,153.1,Georgia,376656,82992,249426,44238,40217,23561,613,2387,13656,2004
9132553,4145.0,924.9,2733.0,487.0,446.0,262.5,6.2,23.5,153.7,Georgia,378534,84463,249594,44477,40725,23977,564,2143,14041,2005
9363941,3873.5,909.2,2503.7,460.6,477.9,282.7,6.5,23.2,165.6,Georgia,362712,85140,234445,43127,44754,26469,605,2169,15511,2006
9544750,3889.6,946.0,2498.1,445.5,491.5,279.8,7.5,23.0,181.2,Georgia,371248,90294,238436,42518,46917,26708,720,2198,17291,2007
9685744,4005.0,1038.3,2557.5,409.3,488.9,274.3,6.6,24.1,183.9,Georgia,387917,100564,247709,39644,47353,26571,640,2334,17808,2008
9829211,3672.6,1003.2,2332.0,337.4,428.0,249.8,5.8,23.6,148.9,Georgia,360985,98606,229216,33163,42073,24553,566,2323,14631,2009
9712157,3639.2,998.2,2328.6,312.4,402.3,247.5,5.7,21.7,127.4,Georgia,353449,96947,226161,30341,39068,24034,555,2107,12372,2010
9812460,3640.6,978.5,2359.7,302.5,374.6,223.0,5.6,21.1,125.0,Georgia,357235,96014,231543,29678,36762,21881,549,2066,12266,2011
9919945,3410.6,874.9,2248.0,287.7,378.9,226.0,5.9,21.4,125.6,Georgia,338329,86789,223004,28536,37591,22423,581,2124,12463,2012
632772,2276.5,525.9,1480.6,269.9,21.8,5.2,2.4,3.3,10.9,Hawaii,14405,3328,9369,1708,138,33,15,21,69,1960
657000,2497.7,595.0,1597.9,304.9,24.5,7.8,2.3,3.8,10.7,Hawaii,16410,3909,10498,2003,161,51,15,25,70,1961
693000,2509.5,647.2,1543.0,319.3,36.9,14.3,2.9,2.5,17.3,Hawaii,17391,4485,10693,2213,256,99,20,17,120,1962
694000,2511.5,712.4,1557.9,241.2,31.0,15.1,1.7,2.6,11.5,Hawaii,17430,4944,10812,1674,215,105,12,18,80,1963
701000,2708.1,838.8,1612.1,257.2,82.0,63.8,2.1,2.6,13.6,Hawaii,18984,5880,11301,1803,575,447,15,18,95,1964
711000,3183.3,980.9,1839.4,363.0,69.1,46.3,3.2,0.8,18.7,Hawaii,22633,6974,13078,2581,491,329,23,6,133,1965
718000,3419.9,1129.7,1971.0,319.2,83.3,53.9,2.9,4.9,21.6,Hawaii,24555,8111,14152,2292,598,387,21,35,155,1966
739000,3639.4,1152.4,2082.8,404.2,80.0,52.8,2.4,5.0,19.8,Hawaii,26895,8516,15392,2987,591,390,18,37,146,1967
778000,4353.2,1363.8,2483.7,505.8,85.1,52.4,2.8,7.2,22.6,Hawaii,33868,10610,19323,3935,662,408,22,56,176,1968
794000,4446.7,1304.8,2606.0,535.9,86.1,35.0,3.4,12.2,35.5,Hawaii,35307,10360,20692,4255,684,278,27,97,282,1969
769913,5143.3,1456.1,3106.1,581.1,121.8,43.1,3.6,11.8,63.3,Hawaii,39599,11211,23914,4474,938,332,28,91,487,1970
789000,5226.9,1437.1,3222.4,567.3,231.9,116.1,5.3,17.5,93.0,Hawaii,41240,11339,25425,4476,1830,916,42,138,734,1971
809000,4457.0,1335.6,2723.0,398.4,155.5,72.1,6.8,21.3,55.4,Hawaii,36057,10805,22029,3223,1258,583,55,172,448,1972
832000,4803.1,1535.5,2830.8,436.9,155.6,46.5,5.3,20.2,83.7,Hawaii,39962,12775,23552,3635,1295,387,44,168,696,1973
847000,5863.6,1784.8,3492.8,586.1,208.0,52.1,8.3,26.1,121.6,Hawaii,49665,15117,29584,4964,1762,441,70,221,1030,1974
865000,5808.2,1826.8,3457.7,523.7,218.4,58.3,7.7,24.7,127.6,Hawaii,50241,15802,29909,4530,1889,504,67,214,1104,1975
887000,6092.7,1881.6,3669.0,542.1,229.3,66.5,6.2,23.6,133.0,Hawaii,54042,16690,32544,4808,2034,590,55,209,1180,1976
